Prompt,Total,Specific == True,Specific == False
ASCII_question,36,13,23
ASCII_statement,14,7,7
Binary_question,18,2,16
Binary_statement,6,2,4
Caesar_question,20,4,16
Caesar_statement,13,0,13
Euskera,60,15,45
In-context Attack,44,0,44
Scenario Nesting Hospital,198,59,139
Scottish-gaelish,58,22,36
UTF_question,7,1,6
UTF_statement,20,3,17
backwards1_question,6,2,4
backwards1_statement,10,4,6
backwards2_question,18,2,16
backwards2_statement,11,0,11
continues,105,15,90
jb_question_answer,17,0,17
jb_special_tokens,55,7,48
morse code_question,10,3,7
morse code_statement,20,9,11
prompts_for_medical_LLM,33,1,32
prompts_for_specific_model,47,5,42
